id	domain	format	interval_seconds	auth	syncable	authority	coverage	license	priority	url	description
uscg.gps.archives	orbit	html	86400	query	0	USCG Navigation Center	GPS programmatic archives	public-data	100	https://www.navcen.uscg.gov/sites/default/files/pdf/gps/Programmatically_Accessing_Archives.pdf	Programmatic archive pattern for GPS NANU YUMA SEM and operations advisory files
nasa.donki.cme	space	json	900	api_key	0	NASA CCMC	Coronal mass ejections	public-data	100	https://api.nasa.gov/DONKI/CME	DONKI coronal mass ejection event API
nasa.donki.cme.analysis	space	json	900	api_key	0	NASA CCMC	Coronal mass ejection analyses	public-data	100	https://api.nasa.gov/DONKI/CMEAnalysis	DONKI CME analysis API including speed and geometry
nasa.donki.gst	space	json	900	api_key	0	NASA CCMC	Geomagnetic storms	public-data	100	https://api.nasa.gov/DONKI/GST	DONKI geomagnetic storm event API
nasa.donki.ips	space	json	900	api_key	0	NASA CCMC	Interplanetary shocks	public-data	100	https://api.nasa.gov/DONKI/IPS	DONKI interplanetary shock event API
nasa.donki.flr	space	json	900	api_key	0	NASA CCMC	Solar flares	public-data	100	https://api.nasa.gov/DONKI/FLR	DONKI solar flare event API
nasa.donki.sep	space	json	900	api_key	0	NASA CCMC	Solar energetic particle events	public-data	100	https://api.nasa.gov/DONKI/SEP	DONKI solar energetic particle event API
nasa.donki.hss	space	json	900	api_key	0	NASA CCMC	High speed solar wind streams	public-data	100	https://api.nasa.gov/DONKI/HSS	DONKI high speed stream event API
nasa.donki.notifications	space	json	900	api_key	0	NASA CCMC	Space weather notifications	public-data	100	https://api.nasa.gov/DONKI/notifications	DONKI space weather notification API
nasa.donki.enlil	space	json	3600	api_key	0	NASA CCMC	WSA-Enlil heliospheric simulations	public-data	100	https://api.nasa.gov/DONKI/WSAEnlilSimulations	DONKI WSA-Enlil simulation results
nasa.cdaweb.hapi	space	json	3600	none	1	NASA GSFC SPDF	Heliophysics datasets	public-data	100	https://cdaweb.gsfc.nasa.gov/hapi/catalog	HAPI catalog for public heliophysics data in CDAWeb
nasa.cdaweb.cdas	space	json	3600	query	0	NASA GSFC SPDF	Heliophysics data and metadata	public-data	100	https://cdaweb.gsfc.nasa.gov/WebServices/REST/	CDAS REST web service for public heliophysics datasets and metadata
nasa.omniweb	space	html	3600	none	1	NASA GSFC SPDF	Heliospheric plasma magnetic field and trajectories	public-data	95	https://omniweb.gsfc.nasa.gov/	OMNIWeb heliospheric magnetic plasma energetic particle and trajectory data
nasa.heasarc	space	html	86400	none	1	NASA GSFC HEASARC	High-energy astrophysics catalogs and missions	public-data	95	https://heasarc.gsfc.nasa.gov/	NASA high-energy astrophysics archive
nasa.heasarc.api	space	tap	86400	query	0	NASA GSFC HEASARC	Astronomy catalogs images spectra	public-data	100	https://heasarc.gsfc.nasa.gov/docs/archive/apis.html	HEASARC TAP VO Cone SIA SSA and XAMIN API access
nasa.mast	space	html	86400	none	1	NASA STScI MAST	Optical ultraviolet near-infrared astronomy	public-data	95	https://archive.stsci.edu/mast.html	Mikulski Archive for Space Telescopes mission and catalog data
esa.gaia.tap	space	tap	86400	query	0	ESA	Milky Way astrometry and stellar catalog	public-data	100	https://gea.esac.esa.int/tap-server/tap	Gaia Archive TAP service for astrometry photometry proper motions and radial velocities
esa.discos	structure	api	86400	account	0	ESA Space Debris Office	Unclassified space objects launch and physical properties	provider-terms	100	https://discosweb.esoc.esa.int/	DISCOS spacecraft launch vehicle mission mass size shape and registration data
esa.swarm.products	earth	html	86400	none	1	ESA	Earth magnetic field and upper atmosphere	public-data	95	https://www.esa.int/Applications/Observing_the_Earth/FutureEO/Swarm/Data_products	Swarm Level 0 Level 1 and Level 2 magnetic and upper-atmosphere data products
esa.space.debris.docs	structure	html	604800	none	1	ESA Space Debris Office	Space debris engineering standards and guidance	public-data	90	https://sdup.esoc.esa.int/documents/	Public ESA space debris mitigation reentry safety and design-for-demise documents
eso.tap.observations	space	tap	86400	query	0	ESO	Astronomical observations	public-data	90	https://archive.eso.org/tap_obs	ESO observation archive TAP endpoint
eso.tap.catalogs	space	tap	86400	query	0	ESO	Astronomical catalogs	public-data	90	https://archive.eso.org/tap_cat	ESO catalog TAP endpoint
